huuid,depart ,arrivée,type_itinéraire,difficulte,type_sol,longueur,largeur,altitude_min,altitude_max,etat_itineraire
1a661257-cf7f-4935-b68b-6e5d8a4cff3a,"6.411617699316819,45.120313300980776","6.409531316908097,45.119026687086766",Sentier,,Cailloux + terre,223.44,"0,4 m",,,Assez bon
e1fad7fd-91f6-4c6b-aab9-eb77021361b3,"6.415811384835999,45.125775115599296","6.411617699316819,45.120313300980776",Sentier,,Cailloux + terre,755.71,"0,4 m",,,Assez bon
941cc944-aea5-43a1-bb0e-8fc62382ce80,"6.419380398940233,45.136484999123034","6.417587349822264,45.132433598409364",Chemin,,Gravier,479.81,"3,5 m",,,Bon
0c03147a-f540-4075-948c-87ce54e7ee9f,"6.404646199160979,45.13295763345162","6.404838699895016,45.133125400719145",Sentier,,,26.51,,,,
f0b596d7-da6b-49f7-b07c-8f1f6a052103,"6.404838699895016,45.133125400719145","6.404774759121743,45.133394119676794",Sentier,,,31.98,,,,
dba6e309-7f97-45bf-a21f-99353088170f,"6.404774759121743,45.133394119676794","6.405040593702826,45.13426238271451",Sentier,,Herbe + terre,104.4,"0,4 m",,,Bon
880f8baf-f981-481c-ba48-f2ccf358eafd,"6.436924394866129,45.085724633259005","6.437326033033307,45.08595354877466",Route,,Goudron,41.53,"3,5 m",,,Bon
71f7ad83-d7ee-4703-b0f7-a74e932c7dc2,"6.423866204612395,45.1076818812263","6.42374897887367,45.107678246806636",Chemin,,,9.23,"3,5 m",,,
54a92eee-4e3e-4f3d-ab7a-71c46ac21adb,"6.422627611381815,45.11832435158117","6.422603763275797,45.11816206602397",Sentier,,Herbe + gravier,18.13,"0,4 m",,,Bon
c8717d2e-191f-4529-bd52-c69c32cd87f0,"6.437325214305445,45.08595221315296","6.437409386131563,45.08607240913435",Route,,Goudron,14.92,"3,5 m",,,Bon
745e741e-352b-4330-b15a-badfa4104a4e,"6.423681990679759,45.11335957183098","6.423761249959281,45.113031134715754",Route,,Goudron,37.05,"3,5 m",,,Bon
c1349e59-983d-478e-89df-3a0fcbdaf673,"6.431009837809659,45.10715874787731","6.424238054719871,45.112588819018676",Sentier,,Herbe + terre,1152.16,"0,4 m",,,Assez bon
d876eb1f-a75a-4c25-8019-350482f8410f,"6.412404235831682,45.10168472974938","6.40033977181696,45.08913481759988",Sentier,,Cailloux + terre,1971.87,"0,4 m",,,Assez bon
110c033d-41a3-41e9-b88e-e4453ce89926,"6.401684231424524,45.080563680262905","6.40115451066209,45.08525145497196",Chemin,,Herbe + terre,540.14,"2,00 m",,,Bon
467cb473-6443-4f35-8f4d-8d78bdb98526,"6.418965825728247,45.12395023181278","6.419453829084829,45.12339682348589",Chemin,,,75.03,,,,
d285f57a-2011-4570-a68d-2449d2739d5b,"6.422581033639521,45.11732698652996","6.422838548608746,45.116917471193766",Chemin,,Herbe + gravier,50.76,"2,00 m",,,Bon
90b0c4ce-b4da-4128-a4e2-2466d44b1e3f,"6.424073904795402,45.10469451552372","6.424709052675845,45.10300812471268",Sentier,,Cailloux + herbe,206.74,"0,4 m",,,Assez bon
9572338c-3ea9-4eb4-ba7c-4f6a5d2081a4,"6.422603763275797,45.11816206602397","6.422581033639521,45.11732698652996",Chemin,,Gravier,93.97,"2,00 m",,,Bon
56176f95-1b82-47b8-8e1d-5ef2de28d24a,"6.423761249959281,45.113031134715754","6.423930946200163,45.107679909149255",Chemin,,Cailloux + terre,603.8,"3,5 m",,,Bon
21ab583f-f2e3-4239-abc1-bf1700cc2ead,"6.423930946200163,45.107679909149255","6.423866204612395,45.1076818812263",Chemin,,,2021-01-05 00:00:00,"3,5 m",,,
60438c51-85a0-4f30-9514-f53748acb135,"6.423930946200163,45.107679909149255","6.424073904795402,45.10469451552372",Chemin,,Cailloux + terre,335.85,"2,00 m",,,Bon
2a7c4c17-db50-48b4-9b94-efacc23f8622,"6.42374897887367,45.107678246806636","6.412404235831682,45.10168472974938",Chemin,,Cailloux + terre,1179.73,"2,00 m",,,Bon
7016cd59-0315-4446-83ae-e0d856131020,"6.422838548608746,45.116917471193766","6.423681990679759,45.11335957183098",Chemin,,Herbe + terre,441.39,"2,00 m",,,Bon
18fde5f3-5fb2-4b75-a177-fc42ab60cb82,"6.393455423674913,45.08909346306616","6.400326605342233,45.08592276653937",Sentier,,Cailloux + herbe,684.07,"0,4 m",,,Mauvais
c0c69165-5ef0-4778-a8d9-fec8349c7901,"6.425909326021799,45.101281559339554","6.426459498278379,45.098522600891094",Sentier,,Cailloux + terre,336.09,"0,4 m",,,Assez bon
3003b85c-4a9f-4931-902a-dfea511a8cc1,"6.433362327003368,45.090389585290566","6.428755047346654,45.09569773167166",Sentier,,Cailloux + terre,727.2,"0,4 m",,,Bon
02f54fcc-56a5-4bbe-9b33-cd6d68e5c5fa,"6.400326605342233,45.08592276653937","6.40033977181696,45.08913481759988",Sentier,,Cailloux + herbe,424.06,"0,4 m",,,Assez bon
9e7ae7c3-763a-4581-90bc-ca7102748b1b,"6.421406663322644,45.119082007315306","6.422627611381815,45.11832435158117",Chemin,,Gravier,163.6,"3,5 m",,,Bon
a31a2826-110c-4891-b3ee-64d381b88fd3,"6.422096229282085,45.119775208157016","6.421406663322644,45.119082007315306",Chemin,,Cailloux + gravier,96.08,"3,5 m",,,Bon
6d6c5b51-6c7e-45a7-b65e-7fd016cb0e95,"6.419453829084829,45.12339682348589","6.422096229282085,45.119775208157016",Chemin,,Cailloux + gravier,471.04,"3,5 m",,,Bon
e59c7fa4-61d4-43cd-b193-19a171c1bedf,"6.418669999042898,45.12567940051465","6.418956726944199,45.124009949115155",Sentier,,Cailloux + terre,194.76,"0,8 m",,,Bon
073c9c44-0fc2-449f-8db6-e8e36ec3cf4c,"6.426459333309349,45.09852289886948","6.428755047346654,45.09569773167166",Sentier,,Cailloux + terre,399.95,"0,4 m",,,Bon
e198e78c-6d27-4308-a6b7-717d8490ae37,"6.4358922443593,45.08648673533348","6.434333616402088,45.089216858945335",Sentier,,Cailloux + herbe,342.15,"0,4 m",,,Bon
b9c05ff7-1a58-42d0-beb2-bbfa6bdc7911,"6.437409386131563,45.08607240913435","6.442240076047277,45.0868377545813",Sentier,,Herbe + terre,441.74,"0,4 m",,,Bon
52ee93ec-3c2e-454d-8ebc-f576aefe6c99,"6.433363416832906,45.09039046737024","6.434333616402088,45.089216858945335",Sentier,,Cailloux + terre,155.65,"0,4 m",,,Bon
ad644620-0886-426f-a73e-cac3a61face9,"6.445909730614128,45.0869927600544","6.459444941436071,45.08741443583385",Sentier,,,1216.82,"0,4 m",,,Bon
1d14570e-1ee9-40ae-9c49-35e87507e19f,"6.464343873481356,45.08720315879061","6.465143400381516,45.08648681746023",Chemin,,Cailloux + gravier,102.29,"3,5 m",,,Bon
8e46f683-8a89-4603-ada6-c17e45c90a15,"6.435322162452793,45.09033403146611","6.436128198055347,45.089999573635744",Chemin,,Cailloux + gravier,73.55,"3,5 m",,,Bon
e8ebd15b-434b-4c89-bb8c-a0dd2c73a1c1,"6.455807989022082,45.08291963170865","6.455421373013788,45.08407892474996",Chemin,,Cailloux + gravier,136.8,"3,5 m",,,Bon
9fa5b81c-5dcc-4820-892c-602fa246b72f,"6.447147474930437,45.08532015962802","6.452325863741112,45.0838930858565",Chemin,,Cailloux + gravier,465.18,"3,5 m",,,Bon
3c9cf04f-3dbc-4ffd-a6f3-5f30ba9dee61,"6.444724658173651,45.08653195224354","6.447147474930437,45.08532015962802",Chemin,,Cailloux + gravier,236.64,"3,5 m",,,Bon
a21541a4-67a1-4c03-8339-cb1144186f32,"6.440159664008687,45.08772553773404","6.442240076047277,45.0868377545813",Chemin,,Cailloux + gravier,192.44,"3,5 m",,,Bon
84580b78-528f-4b62-839a-4b16fb3cdae8,"6.442240076047277,45.0868377545813","6.444724658173651,45.08653195224354",Chemin,,Cailloux + gravier,202.57,"3,5 m",,,Bon
b5cc739b-c929-4cdc-97fc-7e5d07ba7a70,"6.455798880911957,45.085488507654965","6.455735187296088,45.0857768664966",Chemin,,Cailloux + gravier,34.94,"3,5 m",,,Bon
1b2ef1c9-8712-4421-a43c-c88374c7c6a3,"6.453394503941475,45.08257839490385","6.453680045745769,45.08296344827799",Chemin,,Cailloux + gravier,71.15,"3,5 m",,,Bon
a86489da-5960-4883-a887-87e8a5470382,"6.455879437357733,45.08412698010731","6.456473147645573,45.08439691858359",Chemin,,Cailloux + gravier,143.6,"3,5 m",,,Bon
97265cdd-7be4-49ce-8ffc-20cfdce43923,"6.456473147645573,45.08439691858359","6.455798880911957,45.085488507654965",Chemin,,Cailloux + gravier,141.11,"3,5 m",,,Bon
99cf355a-6d00-45fd-83c1-a495e07d3c4d,"6.458483228642064,45.08479348522855","6.458700814486342,45.084879552693565",Chemin,,Cailloux + gravier,27.87,"3,5 m",,,Bon
f2266001-c1c0-4aa4-ab7e-596a347d8aa1,"6.455421373013788,45.08407892474996","6.455879437357733,45.08412698010731",Chemin,,Cailloux + gravier,112.36,"3,5 m",,,Bon
aad40425-9c73-401f-ac26-f30a8adb79cd,"6.455735187296088,45.0857768664966","6.458483228642064,45.08479348522855",Chemin,,Cailloux + gravier,272.56,"3,5 m",,,Bon
1018079e-c248-4484-aeeb-8664f1d52494,"6.43612819805535,45.089999573635744","6.440159664008689,45.08772553773397",Chemin,,Herbe + gravier,519.71,"2,00 m",,,Bon
70548895-0c81-4978-82b3-f8c7da7db6c0,"6.465143400381516,45.08648681746023","6.461848886689902,45.086168675377884",Sentier,,Cailloux + terre,274.55,"0,4 m",,,Assez bon
be0658a3-3ee0-45c8-8fbd-2b643efa959d,"6.461848886689902,45.086168675377884","6.460035199732352,45.08555537112049",Sentier,,Cailloux + terre,159.13,"0,4 m",,,Assez bon
9d228416-cb1e-4ec1-8d30-51fd0ed398e2,"6.457020262364138,45.081915962622546","6.468181773386807,45.07338040959546",Sentier,,Cailloux + terre,1450.13,"0,4 m",,,Bon
0c7a9787-923f-46cb-acb0-81318675bf87,"6.460035199732352,45.08555537112049","6.458700814486342,45.084879552693565",Sentier,,Cailloux + terre,133.6,"0,4 m",,,Assez bon
7fa5de9c-2653-4d22-b43b-2c162f128a37,"6.453491378143775,45.0834747108194","6.452323288966205,45.08389337565078",Sentier,,Cailloux + terre,119.04,"0,4 m",,,Bon
1c6ebf67-11bf-4a17-b8fd-f4380bfab91c,"6.455807989022082,45.08291963170865","6.457020262364138,45.081915962622546",Sentier,,Cailloux + herbe,148.93,"0,4 m",,,Bon
2dd1b7b6-2317-4262-bb4a-10a17dcc0c54,"6.457020262364138,45.081915962622546","6.453680045745769,45.08296344827799",Sentier,,Cailloux + terre,336.24,"0,4 m",,,Assez bon
46e34ff2-cef1-4ce3-a22e-99078a2e6467,"6.46331103527072,45.0874952811442","6.459444941436071,45.08741443583385",Sentier,,Cailloux + terre,343.98,"0,4 m",,,Mauvais
55879e22-2e12-44db-973c-a94c0a3c907f,"6.437716739892213,45.08904946476557","6.445909730614128,45.0869927600544",Sentier,,Herbe,718.9,"0,4 m",,,Mauvais
049906c2-1df9-4374-b71a-0d726f2fb80f,"6.470744053605693,45.08512961979303","6.473917725675168,45.08673480243404",Chemin,,Cailloux + terre,371.74,"2,00 m",,,Bon
966d2265-6ac8-4b18-a658-430239bc43e3,"6.465143400381516,45.08648681746023","6.465901568567893,45.0865147698303",Chemin,,Cailloux + terre,59.93,"2,00 m",,,Bon
b16849de-43bc-4895-a997-ca4f3c53904f,"6.46934127136904,45.08458392767945","6.469132351954777,45.08463901268866",Chemin,,Cailloux + terre,17.59,"2,00 m",,,
e22a180e-9eca-4603-a9c6-bb9546f3b885,"6.465948946083709,45.05453767755589","6.470546689726459,45.06967503659158",Sentier,,Cailloux + terre,2023.68,"0,4 m",,,Assez bon
307edf38-d6e1-4cc2-a851-c7194ef8a950,"6.465901568567893,45.0865147698303","6.46873545612545,45.08498630266797",Chemin,,Cailloux + terre,328.88,"2,00 m",,,Bon
ba9e1a73-4ac1-4aac-bf6a-1f3ddd67caed,"6.46934127136904,45.08458392767945","6.470744053605693,45.08512961979303",Chemin,,Cailloux + terre,465.22,"2,00 m",,,Bon
17c3642d-b984-4821-a73a-2504ff902588,"6.484840828215703,45.085275437835435","6.479621458954014,45.08698199932479",Chemin,,Cailloux + terre,482.14,"2,00 m",,,Bon
2e4616c8-7344-483d-940c-b45ea4d36a43,"6.475389949748849,45.086353726881924","6.477700530334507,45.086858100502866",Chemin,,Cailloux + terre,195.65,"2,00 m",,,Bon
4201b157-08b0-478b-a977-22f8d4639de7,"6.479611059491935,45.08697637759461","6.478496125546248,45.08691543143194",Chemin,,Cailloux + terre,88.6,"2,00 m",,,Bon
2781b8b8-4cd5-49a3-88a3-e0c6006faadd,"6.478496125546248,45.08691543143194","6.477700530334507,45.086858100502866",Chemin,,Cailloux + terre,63.51,"2,00 m",,,Bon
c6062fce-0415-4fac-829f-eae005a82928,"6.46873545612545,45.08498630266797","6.469132351954777,45.08463901268866",Chemin,,Cailloux + terre,78.36,"2,00 m",,,Bon
3fed2f33-d0ae-4597-a08b-92e64ccc1dd6,"6.476768174077447,45.084685790658014","6.48204368013901,45.08428735402336",Sentier,,Cailloux + terre,460.55,"0,4 m",,,Mauvais
03f62fe9-7617-48e5-a26d-775df3f98db1,"6.475391778246077,45.08635432505531","6.476335496017183,45.08915374285054",Sentier,,Cailloux + terre,469.2,"1,2 m",,,Bon
bd80a290-c53a-4ef2-9cad-0abe318d2b3e,"6.476139566705288,45.08177560565944","6.473767457181622,45.074615051029625",Sentier,,Cailloux + terre,1124.93,"0,8 m",,,Assez bon
28a87b2a-3d46-483c-93e4-4d7fa84c8369,"6.476768174077447,45.084685790658014","6.476139991927303,45.0817754472847",Sentier,,Cailloux + terre,353.6,"0,4 m",,,Assez bon
3d71fb61-883c-4e5b-a9b1-6314904324b3,"6.470818671498734,45.085305767868526","6.476139991927303,45.0817754472847",Sentier,,Cailloux + terre,615.68,"0,8 m",,,Bon
4020efd4-b7e1-4428-9529-33a672422efa,"6.473767882356025,45.07461489266422","6.472584322104943,45.07252688420446",Sentier,,Herbe + terre,266.6,"0,4 m",,,Bon
42d6dd06-cfe3-490a-b6d2-c03167ad6178,"6.472584322104943,45.07252688420446","6.470544340408455,45.069671529095935",Sentier,,Cailloux + terre,551.66,"0,4 m",,,Bon
daf23991-0543-4d99-9c54-4ac49c3a274d,"6.470335776294416,45.07295932721476","6.473767882356025,45.07461489266422",Sentier,,Herbe + terre,345.93,"0,4 m",,,Bon
d6978e93-a76a-4ab8-a736-5e14a65f36f9,"6.476335496017183,45.08915374285054","6.473084992892792,45.09506517821504",Sentier,,Cailloux + terre,751.09,"0,4 m",,,Bon
6aa4d095-4362-4558-8ca3-d8e78d0eca1c,"6.47179652296622,45.096380295246526","6.472699999960925,45.101560821803055",Sentier,,Cailloux + terre,585.75,"0,8 m",,,Bon
9e18f6bc-0bd4-4e59-b5c3-41629de3b378,"6.473431673064891,45.09648197602841","6.473084992892792,45.09506517821504",Inexistant,,,297.17,,,,
bd0ee1e5-7d84-4b93-8f3f-4c8fe48dce33,"6.48204368013901,45.08428735402336","6.484828445546985,45.08528233331736",Sentier,,Cailloux,315.93,"0,4 m",,,Mauvais
85bd030c-cf43-486a-973e-54fed240f6a7,"6.473431673064891,45.09648197602841","6.47179652296622,45.096380295246526",Inexistant,,,167.4,,,,
6e70409e-2f00-4ae7-aeba-929dfc76d2c6,"6.46301212762732,45.05404232204483","6.459217426480797,45.05403404616215",Sentier,,Cailloux + terre,345.01,"0,4 m",,,Assez bon
213f2fe0-a2c9-4abe-bb00-cf487c43ecf5,"6.463012774374783,45.05404071301584","6.465948946083709,45.05453767755589",Sentier,,Cailloux + terre,254.73,"0,4 m",,,Assez bon
cae3563e-1a35-4da3-87de-64f5fd6b931a,"6.457903587124754,45.0540080106806","6.454606994753391,45.0536033201055",Sentier,,Cailloux + terre,285.23,"0,4 m",,,Bon
6ddbf651-0ce3-4f61-b877-f7cfbc942105,"6.465948946083709,45.05453767755589","6.453394503941475,45.08257839490385",Sentier,,Cailloux + herbe,4004-05-01 00:00:00,"0,4 m",,,Mauvais
1510d267-c465-4e03-84d0-a1194f860cc6,"6.431015706217475,45.107164677670795","6.45940397681809,45.090545876970374",Sentier,,Cailloux + terre,3809.86,"0,4 m",,,Assez bon
5ed4c239-ee9a-4251-8640-2c8245d64c79,"6.476943255158276,45.110284220706866","6.473050909731136,45.105307401700884",Sentier,,Cailloux + terre,799.53,"0,4 m",,,Assez bon
2ba3c835-05a3-4114-9d81-7fdfc640afda,"6.47203140165095,45.11561789882974","6.472023316006087,45.1154866550155",Chemin,,Cailloux + terre,14.63,"2,00 m",,,Bon
9ae0e97b-2423-494f-8e26-e515ecaade5f,"6.471591810247518,45.11601875061937","6.47203140165095,45.11561789882974",Chemin,,Cailloux + terre,72.89,"2,00 m",,,Bon
f422599f-386a-4e5b-a73e-0a9383b7e8eb,"6.468248045906503,45.121398799233994","6.471591810247518,45.11601875061937",Chemin,,Cailloux + terre,707.05,"3,5 m",,,Bon
ed8a475c-8c77-49c0-bf27-26b3f681aa2b,"6.480282547484727,45.11744504961395","6.475009899370026,45.12918376983735",Sentier,,Cailloux + terre,1463.92,"0,4 m",,,Bon
3df67a9b-de55-4e36-9fdc-96002aec2c59,"6.472023316006087,45.1154866550155","6.476706101862256,45.11067029995694",Sentier,,Cailloux + terre,693.6,"0,4 m",,,Bon
e623d490-f442-426b-8372-c7c4e5c9eb2b,"6.476935541405847,45.110451552202605","6.476943255158276,45.110284220706866",Sentier,,,18.88,"3,5 m",,,
dee3a4d6-f91d-446e-9225-d1d69217f704,"6.476706101862256,45.11067029995694","6.476935541405847,45.110451552202605",Sentier,,Cailloux + terre,31.62,"0,4 m",,,Bon
88de58a7-371d-4fe9-bb24-dde2e4c57ea1,"6.479679979526378,45.10760345543982","6.476943255158276,45.110284220706866",Inexistant,,,394.95,,,,
387ca580-f9be-4798-9ce5-792b2dd583f0,"6.472699999960925,45.101560821803055","6.473050909731136,45.105307401700884",Sentier,,Cailloux + terre,421.79,"0,4 m",,,Bon
05a7b84b-0cc8-40bd-9bfa-7fb8651ee455,"6.480282547484727,45.11744504961395","6.476935541405847,45.110451552202605",Inexistant,,,1088.45,,,,
2989c63e-2cd4-4aa7-b60f-e84f47e388bb,"6.463661146908437,45.13920529890805","6.474011447769493,45.13055061017894",Sentier,,Herbe + terre,1515.47,,,,Assez bon
49461caf-69a0-452d-b57e-fe3c2631e81c,"6.46181805906274,45.132115493470806","6.4677957943201,45.12223593369771",Sentier,,Cailloux + terre,1286.55,"0,4 m",,,Assez bon
06c91b49-9a1c-400a-a45e-4e2f087f9031,"6.459074678525151,45.13654818137153","6.45825113103197,45.13751740200298",Sentier,,Cailloux + terre,131.97,"0,4 m",,,Bon
af197bc0-1b54-4a4e-8d19-d1d899e0eafd,"6.45825113103197,45.13751740200298","6.449022550174123,45.14829762896429",Sentier,,Cailloux + terre,1503.2,"0,8 m",,,Bon
c45d92b8-651d-4f12-84ff-332b2f8c1f56,"6.461818059252264,45.13211549305727","6.461529677355314,45.13295115590647",Chemin,,Cailloux + terre,98.67,"3,5 m",,,Bon
5813c58f-b8bb-4ec2-9d22-f97c39d46f37,"6.462089999215237,45.13455325124687","6.463390538074392,45.13886058248848",Chemin,,Gravier,544.92,"3,5 m",,,Bon
4c442adb-ae23-424e-9a3a-ffce37ecd9a6,"6.461529677355314,45.13295115590647","6.462089999215237,45.13455325124687",Chemin,,,187.72,,,,
a5240be9-60bc-4e89-b4ff-0785b002016a,"6.491101100783469,45.1337860555265","6.486420817906178,45.13154003336008",Sentier,,Herbe + terre,774.43,"0,4 m",,,Bon
199c7c6d-2e23-465c-99ae-6ddbe6cb2a41,"6.495387656090029,45.137222242167155","6.491101100783469,45.1337860555265",Sentier,,Herbe + terre,765.79,"0,4 m",,,Bon
ad52fc1e-3cfb-4b30-aed0-9a6887868de2,"6.467795794684561,45.12223593307199","6.468248045906503,45.121398799233994",Chemin,,Cailloux + terre,100.05,"3,5 m",,,Bon
49597fff-b197-4026-8422-5152ccbfe58b,"6.461857632658075,45.13199537478534","6.46061107078916,45.13375928554892",Sentier,,Cailloux + terre,240.07,"0,4 m",,,Bon
a65769bc-41fd-4350-be51-2e10bec66c3e,"6.46061107078916,45.13375928554892","6.460135211838297,45.13448552337604",Sentier,,Cailloux + terre,93.73,"0,4 m",,,Bon
9a3c1159-00f9-4ccf-a9af-987d0d6b8af1,"6.460135211838297,45.13448552337604","6.459074678525151,45.13654818137153",Sentier,,Cailloux + terre,261.33,"0,4 m",,,Bon
f9b831fb-ea32-4162-a57c-714c3b66b9cc,"6.474011447769493,45.13055061017894","6.475009899370026,45.12918376983735",Sentier,,Cailloux + terre,195.92,"0,4 m",,,Assez bon
80a86d8e-02ae-4833-a3f0-80483fa33735,"6.481724141915563,45.13080766705838","6.473695922038853,45.14778334914294",Sentier,,Cailloux + terre,2100-12-01 00:00:00,"0,4 m",,,Assez bon
8b6d2f18-586e-4518-bf67-2b8888dc2ac0,"6.496586604178461,45.14328408085025","6.496178466828175,45.142998718152825",Sentier,,Cailloux + terre,48.97,"0,4 m",,,Bon
480dee92-112e-44ec-83dd-aa1b86118b1c,"6.496178466828175,45.142998718152825","6.495344741288531,45.14225111585781",Sentier,,Cailloux + terre,108.57,"0,4 m",,,Bon
30813cd2-d3f1-4ea6-b980-04bcb72a5ab3,"6.495344741288531,45.14225111585781","6.495387656090029,45.137222242167155",Sentier,,Cailloux + terre,753.03,"0,8 m",,,Bon
e0bb2cce-6598-4ea1-a19c-89998399d10f,"6.496586604178461,45.14328408085025","6.49480399763739,45.153911427268824",Sentier,,Terre,1370.62,"0,8 m",,,Bon
ece569a5-534b-47ad-9f98-7eccbb83dbab,"6.496586604178461,45.14328408085025","6.496316488593564,45.14257742521212",Sentier,,,85.08,"0,8 m",,,
64e17c93-6df6-4c8a-abf1-6cedef84241b,"6.496316488593564,45.14257742521212","6.507839289236665,45.13250771992143",Sentier,,Cailloux + terre,1748.38,"0,8 m",,,Bon
f06f6813-1045-4818-9dc0-b140ffb44b8a,"6.530316091426656,45.12090440736983","6.513026609861801,45.13078854006349",Sentier,,Cailloux,2042.97,"0,4 m",,,Assez bon
237d593c-1c47-4f25-b028-3e0bd61700c9,"6.505797608525305,45.12621814889231","6.495387656090029,45.137222242167155",Sentier,,Cailloux + terre,1639.07,"0,8 m",,,Bon
addc71aa-746a-47fb-ba97-062017dce547,"6.512542309030156,45.13191868788794","6.513026609861801,45.13078854006349",Sentier,,Cailloux + herbe,156.49,"1,2 m",,,Bon
e733ac76-02c1-4557-8ff1-c64b6ce2a2ae,"6.505323825501871,45.14275549348352","6.509047753972101,45.134954035337266",Sentier,,Cailloux + herbe,981.98,"1,2 m",,,Bon
b78a1e30-9d66-41ad-835f-0d9fbcb3c69b,"6.509047753972101,45.134954035337266","6.512542309030156,45.13191868788794",Sentier,,Cailloux + herbe,451.52,"1,2 m",,,Bon
44ff48eb-8bf2-4b91-b0f8-e5d16f7fe817,"6.513026609861805,45.13078854006349","6.513984753033966,45.12140904675137",Sentier,,Herbe + terre,1267.94,"0,4 m",,,Assez bon
c6dd90dd-77f3-4b70-a4b2-6f8ce3b6e3c5,"6.546533856997618,45.1071070152724","6.533379396282707,45.118996024113",Sentier,,Cailloux + herbe,2238.49,"0,4 m",,,Mauvais
cab30178-23b0-44b4-8cc8-78952fb4c0a7,"6.507839289236665,45.13250771992143","6.512542309030156,45.13191868788794",Inexistant,,,381.52,,,,Mauvais
7cb7ae75-e5dc-446f-a3cf-8a00fc595bc4,"6.493006227222233,45.1556816195683","6.486419942516133,45.158386826806",Sentier,,Cailloux + terre,869.85,"0,8 m",,,Bon
001f21ea-19a2-42ec-bd9f-8f29aaec68f5,"6.503535207241683,45.14771907618856","6.494303332359162,45.15958759201779",Sentier,,Cailloux + terre,1775.17,"1,2 m",,,Bon
1e0c45ae-4860-481a-8daa-9dab470bfbf3,"6.473908848997047,45.15006289114596","6.473705001457581,45.14778342592394",Chemin,,Cailloux + terre,256.5,"3,5 m",,,Bon
88dd84eb-1baa-462c-84c0-94cb7cd3b433,"6.505323825501871,45.14275549348352","6.509595656065206,45.14955980630583",Inexistant,,,1146.15,,,,Mauvais
2fb60de1-c310-4c48-9bc9-417f1d3372d6,"6.494303332359162,45.15958759201779","6.49480399763739,45.153911427268824",Sentier,,Herbe + terre,668.31,"0,8 m",,,Bon
d5651f2a-17cf-4677-9fa6-e851242cd9a4,"6.494470319873489,45.16160167221076","6.49403954184467,45.16575896336807",Chemin,,Cailloux + gravier,477.25,"3,5 m",,,Bon
4ca9b38c-aa7f-445f-bec8-98f9afbad00d,"6.473435230038896,45.15344203725033","6.473898121273701,45.15005532469631",Chemin,,Cailloux + terre,379.53,"3,5 m",,,Bon
a62c80c6-0cca-4f35-9282-b2532a1c7e14,"6.473215183172028,45.15377486417959","6.473435230038896,45.15344203725033",Chemin,,,41.55,"3,5 m",,,
4fdb1608-f573-4280-8a8b-32fc99814c34,"6.49234134324176,45.170204295918566","6.489081596827493,45.172349778270416",Chemin,,Terre,362.21,"3,5 m",,,Bon
